Date,Open,High,Low,Close
07/04/2020,"226.87","230.62","224.50","229.21"
07/03/2020,"226.29","228.18","225.48","226.88"
07/02/2020,"231.51","232.06","223.04","226.29"
07/01/2020,"225.47","232.76","224.16","231.51"
06/30/2020,"227.73","229.82","222.87","225.47"
06/29/2020,"224.81","227.95","221.23","227.30"
06/28/2020,"218.34","227.57","217.80","224.85"
06/27/2020,"230.26","231.33","215.90","218.60"
06/26/2020,"233.61","234.78","227.50","230.27"
06/25/2020,"234.70","235.42","227.60","233.61"
06/24/2020,"243.52","249.23","231.03","234.60"
06/23/2020,"245.11","246.40","240.85","243.52"
06/22/2020,"228.99","245.43","227.18","244.65"
06/21/2020,"227.58","231.00","227.57","228.99"
06/20/2020,"229.22","230.66","225.99","227.58"
06/19/2020,"228.52","232.05","226.61","229.20"
06/18/2020,"231.10","234.45","228.28","229.06"
06/17/2020,"233.73","237.01","228.29","231.10"
06/16/2020,"233.40","236.01","228.80","233.73"
06/15/2020,"234.12","234.22","218.21","232.68"
06/14/2020,"236.94","238.37","233.09","234.12"
06/13/2020,"237.66","238.62","234.65","236.94"
06/12/2020,"232.37","239.19","228.04","237.67"
06/11/2020,"247.88","250.04","227.21","232.37"
06/10/2020,"243.52","250.12","185.52","247.75"
06/09/2020,"242.21","249.80","240.79","243.52"
06/08/2020,"242.57","245.59","241.22","242.10"
06/07/2020,"242.21","244.08","235.00","241.85"
06/06/2020,"241.50","244.39","237.80","242.17"
06/05/2020,"241.77","247.58","239.11","241.00"
06/04/2020,"241.67","246.66","236.46","241.91"
06/03/2020,"236.37","242.90","233.60","241.63"
06/02/2020,"242.34","253.39","226.22","236.64"
06/01/2020,"235.60","242.63","229.97","241.75"
05/31/2020,"235.38","246.50","232.07","235.70"
05/30/2020,"219.97","238.65","218.66","235.38"
05/29/2020,"214.49","224.62","213.52","219.97"
05/28/2020,"206.26","215.45","204.66","214.36"
05/27/2020,"202.33","207.80","200.50","206.29"
05/26/2020,"204.91","205.00","197.11","202.20"
05/25/2020,"206.40","207.90","198.20","204.90"
05/24/2020,"207.97","210.61","201.76","206.41"
05/23/2020,"208.13","211.50","205.00","208.02"
05/22/2020,"198.92","209.21","196.56","208.24"
05/21/2020,"210.40","211.41","191.73","199.05"
05/20/2020,"212.54","215.45","206.80","210.40"
05/19/2020,"212.80","215.93","209.45","212.41"
05/18/2020,"208.03","216.95","206.34","212.65"
