vix.o,prev_vix.c,qqq.o,prev_qqq.c,aapl.o,prev_aapl.c,dji.o,prev_dji.c,dxy.o,prev_dxy.c,msft.o,prev_msft.c,smh.o,prev_smh.c,spy
20.8,20.58,273.92,272.83,131.25,130.73,33.0,33.0,103.22,103.24,231.29,228.85,109.42,109.55,1
22.22,21.97,269.49,270.54,130.26,130.15,33.0,33.0,103.29,103.0,227.76,227.12,107.76,108.14,1
22.69,22.46,263.35,261.58,126.01,125.02,33.0,32.0,105.05,105.04,223.0,222.31,103.08,101.4,1
22.2,22.01,264.04,265.74,127.13,126.36,33.0,33.0,104.07,104.25,227.2,229.1,102.01,103.25,0
22.93,22.9,266.64,264.48,126.89,125.07,33.0,33.0,104.58,104.52,232.28,239.58,102.55,100.69,1
21.83,21.44,263.62,266.44,128.41,129.61,33.0,33.0,103.95,103.84,238.21,241.01,100.35,101.87,1
22.25,22.14,262.96,260.1,127.99,126.04,33.0,32.0,104.37,104.46,235.65,234.53,100.22,98.65,1
21.47,21.65,263.17,263.58,129.67,130.03,33.0,33.0,104.33,104.18,236.89,236.96,99.48,99.92,0
22.17,21.97,265.47,266.76,130.92,132.23,32.0,33.0,104.39,104.43,236.11,238.19,101.04,101.75,1
20.08,20.07,270.38,273.45,134.35,135.45,33.0,33.0,104.22,104.16,241.26,244.43,103.99,106.15,0
21.25,21.48,270.6,269.54,132.98,132.3,33.0,32.0,103.95,103.97,241.69,241.8,104.48,103.83,1
23.17,22.42,268.56,269.75,131.39,132.37,32.0,32.0,104.73,104.72,239.4,240.45,103.18,104.34,1
23.26,22.83,276.2,276.89,136.69,136.5,33.0,33.0,104.45,104.56,248.55,249.01,107.15,107.63,0
21.52,21.14,282.33,286.51,141.11,143.21,33.0,33.0,103.67,103.77,253.72,257.22,109.98,111.89,0
22.83,22.55,288.05,288.65,145.35,145.47,34.0,34.0,104.07,103.98,257.13,256.92,113.53,113.85,0
25.24,25.0,296.65,285.58,149.5,144.49,34.0,34.0,104.99,105.13,261.69,252.51,117.02,111.98,0
22.55,22.29,282.81,283.85,142.34,142.65,33.0,33.0,104.86,104.77,244.7,247.4,110.6,110.91,0
22.81,22.68,281.91,280.53,142.36,140.94,33.0,33.0,105.2,105.1,244.84,244.37,108.57,108.16,1
22.32,22.17,280.47,281.68,142.19,142.91,33.0,33.0,105.63,105.58,244.83,245.12,107.23,108.18,1
20.69,20.75,287.48,287.64,147.08,146.63,33.0,33.0,105.16,105.29,250.82,250.2,110.51,110.61,0
20.42,19.84,288.54,293.72,145.96,148.31,34.0,34.0,104.82,104.73,249.82,254.69,110.7,113.5,1
20.83,20.58,293.69,293.36,148.21,148.03,34.0,34.0,105.7,105.95,253.87,255.14,114.59,113.87,0
