Date,Open,High,Low,Close,Volume
10/06/2022,"375.62","378.72","372.68","373.20","82,333,539"
10/05/2022,"373.39","379.46","370.95","377.09","88,065,672"
10/04/2022,"372.40","378.00","366.57","377.97","103,602,797"
10/03/2022,"361.08","368.55","359.21","366.61","89,756,477"
09/30/2022,"361.80","365.91","357.04","357.18","153,711,203"
09/29/2022,"366.81","367.11","359.70","362.79","112,952,305"
09/28/2022,"364.38","372.30","362.60","370.53","110,802,203"
09/27/2022,"368.02","370.40","360.87","363.38","108,294,094"
09/26/2022,"366.41","370.21","363.03","364.31","92,581,242"
09/23/2022,"370.58","370.62","363.29","367.95","122,346,898"
09/22/2022,"376.58","378.30","373.44","374.22","89,472,641"
09/21/2022,"386.11","389.31","377.38","377.39","106,746,602"
09/20/2022,"385.06","386.12","381.20","384.09","77,274,883"
09/19/2022,"382.26","388.55","382.18","388.55","73,278,484"
09/16/2022,"384.14","386.25","382.11","385.56","103,084,797"
09/15/2022,"392.96","395.96","388.78","390.12","87,633,844"
09/14/2022,"394.47","396.20","391.12","394.60","85,023,750"
09/13/2022,"401.83","403.10","391.92","393.10","122,947,102"
09/12/2022,"408.78","411.73","408.46","410.97","69,256,258"
09/09/2022,"402.74","407.51","402.46","406.60","76,706,922"
09/08/2022,"395.39","400.86","394.12","400.38","80,821,680"
09/07/2022,"390.43","398.59","390.20","397.78","70,964,234"
09/06/2022,"393.13","394.12","388.42","390.76","76,637,398"
09/02/2022,"400.28","401.56","390.33","392.24","99,632,148"
09/01/2022,"392.89","396.78","390.04","396.42","78,740,078"
08/31/2022,"399.93","401.24","395.04","395.18","76,029,672"
08/30/2022,"403.85","404.10","396.00","398.21","85,652,438"
08/29/2022,"402.20","405.84","401.20","402.63","65,370,809"
08/26/2022,"419.39","419.96","405.25","405.31","103,087,000"
08/25/2022,"415.24","419.56","414.09","419.51","50,942,246"
08/24/2022,"412.11","415.11","411.39","413.67","49,177,801"
08/23/2022,"412.90","415.42","411.77","412.35","49,105,246"
08/22/2022,"417.05","417.23","412.40","413.35","77,695,641"
08/19/2022,"424.98","425.26","421.22","422.14","68,016,898"
08/18/2022,"426.86","428.61","425.50","427.89","49,023,207"
08/17/2022,"425.91","429.50","424.54","426.65","63,563,391"
08/16/2022,"427.73","431.73","426.88","429.70","59,289,039"
08/15/2022,"424.77","429.41","424.71","428.86","54,048,281"
08/12/2022,"422.03","427.21","421.03","427.10","61,694,539"
08/11/2022,"422.99","424.95","419.21","419.99","59,489,699"
08/10/2022,"418.78","420.14","416.72","419.99","68,665,711"
08/09/2022,"412.22","412.75","410.22","411.35","44,931,770"
08/08/2022,"415.25","417.62","411.83","412.99","54,025,969"
08/05/2022,"409.66","414.15","409.60","413.47","56,814,930"
08/04/2022,"414.37","415.09","412.44","414.17","45,656,566"
08/03/2022,"410.30","415.68","410.00","414.45","67,820,562"
08/02/2022,"409.12","413.00","406.82","408.06","63,435,422"
08/01/2022,"409.15","413.41","408.40","410.77","69,997,469"
07/29/2022,"407.58","413.03","406.77","411.99","87,003,672"
07/28/2022,"401.89","406.80","398.15","406.07","73,966,562"
07/27/2022,"394.36","402.88","394.05","401.04","82,342,109"
07/26/2022,"393.84","394.06","389.95","390.89","52,946,391"
07/25/2022,"395.75","396.47","393.21","395.57","53,631,488"
07/22/2022,"398.92","400.18","392.75","395.09","72,197,328"
07/21/2022,"394.16","398.84","391.63","398.79","64,903,859"
07/20/2022,"392.47","396.26","391.03","394.77","71,843,766"
07/19/2022,"386.08","392.87","385.39","392.27","78,505,969"
07/18/2022,"388.38","389.09","380.66","381.95","63,203,633"
07/15/2022,"382.55","385.25","380.54","385.13","79,060,383"
07/14/2022,"373.61","379.05","371.04","377.91","89,704,812"
07/13/2022,"375.10","381.92","374.66","378.83","84,224,648"
07/12/2022,"383.65","386.16","378.99","380.83","62,219,180"
07/11/2022,"385.85","386.87","383.50","384.23","58,366,953"
07/08/2022,"387.27","390.64","385.66","388.67","72,397,766"
07/07/2022,"385.12","389.83","383.27","388.99","64,525,922"
07/06/2022,"382.11","385.87","379.60","383.25","70,426,242"
07/05/2022,"375.88","381.98","372.90","381.96","81,437,969"
07/01/2022,"376.56","381.70","373.80","381.24","74,839,727"
06/30/2022,"376.24","380.66","372.56","377.25","112,508,305"
06/29/2022,"381.23","382.27","378.42","380.34","65,676,000"
06/28/2022,"390.23","393.16","380.53","380.65","86,689,820"
06/27/2022,"391.05","391.36","387.44","388.59","66,009,617"
06/24/2022,"381.40","390.09","381.37","390.08","98,050,328"
06/23/2022,"376.64","378.83","372.89","378.06","79,292,141"
06/22/2022,"370.62","378.72","370.18","374.39","90,059,422"
06/21/2022,"371.89","376.53","371.81","375.07","76,811,859"
06/17/2022,"365.51","369.38","362.17","365.86","111,113,906"
06/16/2022,"370.51","370.94","364.08","366.65","134,473,297"
06/15/2022,"377.36","383.90","372.12","379.20","125,666,797"
06/14/2022,"376.85","377.94","370.59","373.87","104,011,797"
06/13/2022,"379.85","381.81","373.30","375.00","170,004,891"
06/10/2022,"394.88","395.78","389.75","389.80","132,893,906"
06/09/2022,"409.34","411.74","401.44","401.44","86,289,797"
06/08/2022,"413.93","415.82","410.38","411.22","64,349,969"
